Dates,Total Entries,Total Exits
2017-09-09,3205417,2536037
2017-09-10,2525145,2022198
2017-09-11,5715710,4226130
2017-09-12,5885960,4348013
2017-09-13,5919946,4368751
2017-09-14,5941686,4377830
2017-09-15,5860319,4344874
2017-09-16,3245840,2592563
2017-09-17,2610604,2114922
2017-09-18,5752476,4245621
2017-09-19,5860277,4353820
2017-09-20,5762164,4331938
2017-09-21,5213673,3951348
2017-09-22,5285871,4008434
2017-09-23,3236450,2581701
2017-09-24,2543487,2057977
2017-09-25,5603381,4180417
2017-09-26,5838917,4328938
2017-09-27,5859229,4337229
2017-09-28,5897566,4359445
2017-09-29,5634185,4190644
2017-09-30,3016941,2408971
2017-10-01,2523838,2026884
2017-10-02,5599477,4139803
2017-10-03,5858974,4320699
2017-10-04,5870195,4342537
2017-10-05,5817624,4322163
2017-10-06,5710335,4250458
2017-10-07,3232065,2606371
2017-10-08,2476167,2037538
2017-10-09,4111760,3204422
2017-10-10,5878376,4382780
2017-10-11,5885859,4387215
2017-10-12,5865533,4421026
2017-10-13,5780052,4297829
2017-10-14,3137257,2521525
2017-10-15,2510278,2037814
2017-10-16,5755400,4228321
2017-10-17,5941108,4390648
2017-10-18,5951829,4407069
2017-10-19,5946037,4474456
2017-10-20,5846839,4404008
2017-10-21,3266402,2654397
2017-10-22,2545397,2089329
2017-10-23,5694330,4243187
2017-10-24,5740718,4298542
2017-10-25,5993871,4473325
2017-10-26,6034931,4509437
2017-10-27,5942298,4483996
2017-10-28,3283382,2647595
2017-10-29,2045652,1727906
2017-10-30,5679728,4247948
2017-10-31,5863254,4397333
2017-11-01,5912709,4450659
2017-11-02,5968966,4432357
2017-11-03,5904768,4413542
2017-11-04,3274317,2598236
2017-11-05,2601510,2078445
2017-11-06,5665896,4201206
2017-11-07,5488208,4138231
2017-11-08,5914856,4378531
2017-11-09,5994854,4413437
2017-11-10,5402326,4078020
2017-11-11,3128910,2495696
2017-11-12,2451490,1993057
2017-11-13,5578823,4120004
2017-11-14,5861278,4343298
2017-11-15,5921171,4388096
2017-11-16,5876650,4392251
2017-11-17,5840039,4330432
2017-11-18,3112166,2479207
2017-11-19,2495146,2024070
2017-11-20,5719374,4198599
2017-11-21,5783188,4261253
2017-11-22,5334926,3963508
2017-11-23,2143336,1745586
2017-11-24,3418363,2700341
2017-11-25,2800745,2264338
2017-11-26,2261203,1845521
2017-11-27,5522616,4064004
2017-11-28,5769685,4258932
2017-11-29,5883187,4357165
2017-11-30,5891831,4342691
2017-12-01,5866504,4350267
2017-12-02,3433832,2766785
2017-12-03,2560344,2099453
2017-12-04,5707872,4202572
2017-12-05,5844672,4311648
2017-12-06,5959880,4405839
2017-12-07,6003311,4427328
2017-12-08,5897999,4371376
2017-12-09,3156098,2554472
2017-12-10,2603696,2103345
2017-12-11,5409477,3991959
2017-12-12,5813001,4290281
2017-12-13,5704444,4234228
2017-12-14,5826919,4311981
2017-12-15,5722625,4244571
2017-12-16,3370441,2693137
2017-12-17,2663308,2160713
2017-12-18,5599222,4123993
2017-12-19,5785185,4281297
2017-12-20,5731934,4263938
2017-12-21,5581093,4140833
2017-12-22,5117137,3828363
2017-12-23,2685474,2152041
2017-12-24,2290253,1861403
